X,Y,id,vertex_ind,vertex_par,vertex_p_1,distance,angle
582511.139684476,6178267.84272947,,"0","0","0",0.00000000000000,0.69027719784844
582513.408672765,6178456.16875748,,"1","0","1",188.33969612362253,0.34513859892422
582513.408672765,6178610.45996116,,"2","0","2",342.63089979941412,0.69017703672329
582517.946649344,6178798.78598917,,"3","0","3",531.01159429731194,0.06749490332800
582515.677661054,6178903.15945048,,"4","0","4",635.40971561108097,2.23261443547093
582520.215637633,6178948.53921627,,"5","0","5",681.01581579782101,6.96490119330546
582579.209333156,6179356.95710835,,"6","0","6",1093.67236873820184,16.68925558245560
582649.547970126,6179506.71033545,,"7","0","7",1259.12191656692630,25.05160358970907
582694.927735913,6179604.27683189,,"8","0","8",1366.72556135118725,4.37734950312208
582654.085946704,6179744.95410583,,"9","0","9",1513.21155777568765,351.90539687142939
582654.085946704,6179928.74215727,,"10","0","10",1696.99960921327420,0.00000000000000
582654.085946704,6180030.84663029,,"11","0","11",1799.10408223415561,352.28891934055918
582635.93404039,6180096.64729068,,"12","0","12",1867.36255138395336,358.47016554841423
582672.237853019,6180262.2834358,,"13","0","13",2036.93053003096361,10.79618932972784
582701.734700781,6180443.80249895,,"14","0","14",2220.83059613724163,9.02513289788251
582722.155595385,6180575.40381973,,"15","0","15",2354.00687243272114,8.00445834737222
582753.921431436,6180827.26151985,,"16","0","16",2607.85991938837469,7.90209266354226
582765.266372883,6180902.1381334,,"17","0","17",2683.59112136425756,11.86982774631296
582787.956255776,6180986.0907001,,"18","0","18",2770.55585123895708,21.53057506743892
582946.78543603,6181285.59715429,,"19","0","19",3109.57034149498986,22.88450022757788
583155.53235865,6181934.52780505,,"20","0","20",3791.24934747210000,0.83997935711646
583141.436587918,6181983.19824065,,"21","0","21",3841.91987198293782,340.39575362830772
583051.957096288,6182193.42114267,,"22","0","22",4070.39360779839762,337.29510424203488
583004.522185062,6182308.77422224,,"23","0","23",4195.11892106642244,336.55954091646043
582953.853075344,6182419.81503716,,"24","0","24",4317.17391382204096,334.97442750939246
582896.71556864,6182539.48038139,,"25","0","25",4449.78043433199218,336.13237240623323
582843.890326593,6182668.84832109,,"26","0","26",4589.51793832098247,334.35800291234091
582774.378666966,6182793.87903274,,"27","0","27",4732.57229749258386,325.76358792386856
582691.577108517,6182894.68092998,,"28","0","28",4863.02198346019122,318.36132102532230
582601.575414551,6182988.2826917,,"29","0","29",4992.87418680974042,333.15304687813114
582581.111699065,6183106.54318377,,"30","0","30",5112.89213394759463,346.00908608118402
582548.010744178,6183207.43023537,,"31","0","31",5219.07061762006833,333.75258196237434
582420.947399974,6183393.4872751,,"32","0","32",5444.37555647394674,332.26497899794629
582355.146739583,6183563.6613968,,"33","0","33",5626.82817663778860,340.80935789617496
582314.304950375,6183695.26271758,,"34","0","34",5764.62135272876640,349.62750447811629
582307.497985507,6183806.44314376,,"35","0","35",5876.00996047635817,356.49646835526187
